0001 SEP  0
0001 OCT  0
0001 NOV  1
0001 DEC  0
0001 JAN  0
0001 FEB  1
0001 MAR  0
0001 APR  0
0001 MAY  0
0001 JUN  0
0002 SEP  1
0002 OCT  2
0002 NOV  3
0002 DEC  1
0002 JAN  3
0002 FEB  1
0002 MAR  1
0002 APR  2
0002 MAY  0
0002 JUN  0
0003 SEP  0
0003 OCT  1
0003 NOV  2
0003 DEC 10
0003 JAN  1
0003 FEB  0
0003 MAR  1
0003 APR  6
0003 MAY  1
0003 JUN  0
0004 SEP  0
0004 OCT  0
0004 NOV  0
0004 DEC  0
0004 JAN  0
0004 FEB  7
0004 MAR  0
0004 APR  1
0004 MAY  1
0004 JUN  0
0005 SEP  0
0005 OCT  0
0005 NOV  0
0005 DEC  1
0005 JAN  0
0005 FEB  0
0005 MAR  0
0005 APR  0
0005 MAY  0
0005 JUN  1
0006 SEP  1
0006 OCT  1
0006 NOV  2
0006 DEC  2
0006 JAN  0
0006 FEB  5
0006 MAR  0
0006 APR  0
0006 MAY  0
0006 JUN  0
0007 SEP  0
0007 OCT  0
0007 NOV  0
0007 DEC  2
0007 JAN  0
0007 FEB  2
0007 MAR  0
0007 APR  0
0007 MAY  1
0007 JUN  0
0008 SEP  1
0008 OCT  0
0008 NOV  4
0008 DEC  4
0008 JAN  5
0008 FEB  2
0008 MAR  3
0008 APR  1
0008 MAY  0
0008 JUN  0
0009 SEP  0
0009 OCT  1
0009 NOV  0
0009 DEC  0
0009 JAN  2
0009 FEB  1
0009 MAR  4
0009 APR  0
0009 MAY  0
0009 JUN  0
0010 SEP  0
0010 OCT  0
0010 NOV  1
0010 DEC  2
0010 JAN  6
0010 FEB  0
0010 MAR  0
0010 APR  0
0010 MAY  2
0010 JUN  0
0011 SEP  0
0011 OCT  0
0011 NOV  1
0011 DEC  2
0011 JAN  1
0011 FEB  4
0011 MAR  0
0011 APR  1
0011 MAY  4
0011 JUN  0
0012 SEP  0
0012 OCT  1
0012 NOV  1
0012 DEC  4
0012 JAN  0
0012 FEB  6
0012 MAR  4
0012 APR  1
0012 MAY  7
0012 JUN  1
0013 SEP  0
0013 OCT  0
0013 NOV  0
0013 DEC  0
0013 JAN  1
0013 FEB  1
0013 MAR  0
0013 APR  0
0013 MAY  0
0013 JUN  0
0014 SEP  0
0014 OCT  0
0014 NOV  1
0014 DEC  0
0014 JAN  0
0014 FEB  0
0014 MAR  1
0014 APR  0
0014 MAY  0
0014 JUN  0
0015 SEP  1
0015 OCT  3
0015 NOV  0
0015 DEC  0
0015 JAN  0
0015 FEB  3
0015 MAR  8
0015 APR  0
0015 MAY  0
0015 JUN  0
0016 SEP  0
0016 OCT  1
0016 NOV  6
0016 DEC  7
0016 JAN  5
0016 FEB  6
0016 MAR  0
0016 APR  1
0016 MAY  0
0016 JUN  5
0017 SEP  5
0017 OCT  7
0017 NOV  4
0017 DEC  9
0017 JAN  7
0017 FEB  1
0017 MAR  4
0017 APR  2
0017 MAY  0
0017 JUN  0
0018 SEP  0
0018 OCT  0
0018 NOV  1
0018 DEC  0
0018 JAN  2
0018 FEB  0
0018 MAR  2
0018 APR  0
0018 MAY  0
0018 JUN  0
0019 SEP  1
0019 OCT  1
0019 NOV  1
0019 DEC  1
0019 JAN  2
0019 FEB 14
0019 MAR  0
0019 APR  0
0019 MAY  1
0019 JUN  0
0020 SEP  0
0020 OCT  0
0020 NOV  0
0020 DEC  2
0020 JAN  1
0020 FEB  1
0020 MAR  1
0020 APR  0
0020 MAY  0
0020 JUN  0
0021 SEP  0
0021 OCT  0
0021 NOV  0
0021 DEC  0
0021 JAN  0
0021 FEB  0
0021 MAR  1
0021 APR  0
0021 MAY  0
0021 JUN  0
0022 SEP  0
0022 OCT  3
0022 NOV  2
0022 DEC  5
0022 JAN  0
0022 FEB 12
0022 MAR  0
0022 APR  1
0022 MAY  1
0022 JUN  0
0023 SEP  0
0023 OCT  0
0023 NOV  0
0023 DEC  0
0023 JAN  0
0023 FEB  0
0023 MAR  0
0023 APR  0
0023 MAY  0
0023 JUN  0
0024 SEP  0
0024 OCT  0
0024 NOV  0
0024 DEC  0
0024 JAN  0
0024 FEB  0
0024 MAR  0
0024 APR  1
0024 MAY  0
0024 JUN  0
0025 SEP  0
0025 OCT  1
0025 NOV  8
0025 DEC  0
0025 JAN  3
0025 FEB  2
0025 MAR  0
0025 APR  3
0025 MAY  3
0025 JUN  0
0026 SEP  0
0026 OCT  0
0026 NOV  0
0026 DEC  0
0026 JAN  0
0026 FEB  0
0026 MAR  0
0026 APR  0
0026 MAY  0
0026 JUN  0
0027 SEP  0
0027 OCT  0
0027 NOV  0
0027 DEC  0
0027 JAN  0
0027 FEB  0
0027 MAR  0
0027 APR  1
0027 MAY  0
0027 JUN  0
0028 SEP  0
0028 OCT  1
0028 NOV  1
0028 DEC 11
0028 JAN  9
0028 FEB  1
0028 MAR  0
0028 APR  0
0028 MAY  1
0028 JUN  0
0029 SEP  0
0029 OCT  0
0029 NOV  0
0029 DEC  0
0029 JAN  0
0029 FEB  0
0029 MAR  0
0029 APR  0
0029 MAY  0
0029 JUN  0
0030 SEP  1
0030 OCT  1
0030 NOV  1
0030 DEC  1
0030 JAN  1
0030 FEB 14
0030 MAR  2
0030 APR  3
0030 MAY  0
0030 JUN  2
0031 SEP  0
0031 OCT  0
0031 NOV  0
0031 DEC  2
0031 JAN  0
0031 FEB  0
0031 MAR  0
0031 APR  0
0031 MAY  0
0031 JUN  0
0032 SEP  4
0032 OCT  0
0032 NOV  3
0032 DEC  0
0032 JAN  0
0032 FEB  0
0032 MAR  0
0032 APR  0
0032 MAY  0
0032 JUN  0
0033 SEP  0
0033 OCT  0
0033 NOV  0
0033 DEC  0
0033 JAN  0
0033 FEB  0
0033 MAR  1
0033 APR  0
0033 MAY  0
0033 JUN  0
0034 SEP  0
0034 OCT  0
0034 NOV  0
0034 DEC  0
0034 JAN  0
0034 FEB  0
0034 MAR  0
0034 APR  0
0034 MAY  0
0034 JUN  0
0035 SEP  0
0035 OCT  1
0035 NOV  0
0035 DEC  0
0035 JAN  0
0035 FEB  1
0035 MAR  0
0035 APR  0
0035 MAY  0
0035 JUN  0
0036 SEP  0
0036 OCT  0
0036 NOV  0
0036 DEC  0
0036 JAN  0
0036 FEB  0
0036 MAR  0
0036 APR  0
0036 MAY  0
0036 JUN  0
0037 SEP  0
0037 OCT  1
0037 NOV  1
0037 DEC  4
0037 JAN  9
0037 FEB  7
0037 MAR  0
0037 APR  0
0037 MAY  0
0037 JUN  1
0038 SEP  1
0038 OCT  0
0038 NOV  0
0038 DEC  0
0038 JAN  2
0038 FEB  0
0038 MAR  2
0038 APR  0
0038 MAY  0
0038 JUN  0
0039 SEP  0
0039 OCT  0
0039 NOV  6
0039 DEC  0
0039 JAN  6
0039 FEB  0
0039 MAR  3
0039 APR  1
0039 MAY  5
0039 JUN  0
0040 SEP  0
0040 OCT  0
0040 NOV  0
0040 DEC  0
0040 JAN  0
0040 FEB  0
0040 MAR  1
0040 APR  0
0040 MAY  0
0040 JUN  0
0041 SEP  0
0041 OCT  0
0041 NOV  0
0041 DEC  0
0041 JAN  0
0041 FEB  0
0041 MAR  0
0041 APR  0
0041 MAY  0
0041 JUN  0
0042 SEP  0
0042 OCT  0
0042 NOV  3
0042 DEC  1
0042 JAN 11
0042 FEB 10
0042 MAR  0
0042 APR  0
0042 MAY  1
0042 JUN  1
0043 SEP  0
0043 OCT  0
0043 NOV  0
0043 DEC  0
0043 JAN  0
0043 FEB  0
0043 MAR  0
0043 APR  0
0043 MAY  0
0043 JUN  0
0044 SEP  0
0044 OCT  0
0044 NOV  0
0044 DEC  2
0044 JAN  0
0044 FEB  0
0044 MAR  0
0044 APR  0
0044 MAY  0
0044 JUN  0
0045 SEP  0
0045 OCT  4
0045 NOV  0
0045 DEC  1
0045 JAN  0
0045 FEB  4
0045 MAR  2
0045 APR  2
0045 MAY  1
0045 JUN  0
0046 SEP  0
0046 OCT  0
0046 NOV  0
0046 DEC  0
0046 JAN  1
0046 FEB  0
0046 MAR  0
0046 APR  0
0046 MAY  0
0046 JUN  0
0047 SEP  0
0047 OCT  2
0047 NOV  1
0047 DEC  0
0047 JAN  0
0047 FEB  0
0047 MAR  0
0047 APR  1
0047 MAY  0
0047 JUN  1
0048 SEP  2
0048 OCT  0
0048 NOV  3
0048 DEC  0
0048 JAN  0
0048 FEB  2
0048 MAR  0
0048 APR  0
0048 MAY  0
0048 JUN  0
0049 SEP  0
0049 OCT  0
0049 NOV  0
0049 DEC  0
0049 JAN  0
0049 FEB  0
0049 MAR  0
0049 APR  0
0049 MAY  0
0049 JUN  0
0050 SEP  0
0050 OCT  0
0050 NOV  0
0050 DEC  0
0050 JAN  1
0050 FEB  0
0050 MAR  2
0050 APR  1
0050 MAY  2
0050 JUN  0
0051 SEP  0
0051 OCT  0
0051 NOV  0
0051 DEC  0
0051 JAN  0
0051 FEB  0
0051 MAR  0
0051 APR  0
0051 MAY  0
0051 JUN  0
0052 SEP  0
0052 OCT  2
0052 NOV  0
0052 DEC  0
0052 JAN  0
0052 FEB  3
0052 MAR  0
0052 APR  0
0052 MAY  0
0052 JUN  0
0053 SEP  0
0053 OCT  6
0053 NOV  5
0053 DEC  5
0053 JAN  0
0053 FEB  2
0053 MAR  3
0053 APR  6
0053 MAY  1
0053 JUN  0
0054 SEP  1
0054 OCT  0
0054 NOV  2
0054 DEC  0
0054 JAN  0
0054 FEB  2
0054 MAR  1
0054 APR  0
0054 MAY  0
0054 JUN  1
0055 SEP  1
0055 OCT  0
0055 NOV  1
0055 DEC  2
0055 JAN  1
0055 FEB  5
0055 MAR  2
0055 APR  1
0055 MAY  0
0055 JUN  0
0056 SEP  0
0056 OCT  0
