JFKPAR JFK ORY PA002 PA 002 1900 0810+1 6 F4 C6 Y9
JFKPAR JFK ORY PA120 PA 120 2100 1010+1 6 F2 C4 Y7
JFKLHR JFK LHR PA100 PA 100 0800 2000   4 F6 C8 Y9
JFKLHR JFK LHR PA106 PA 106 1800 0600+1 6 F4 C6 Y9
LAXJFK LAX JFK PA400 PA 400 0700 1520   4 F4 C6 Y9
LAXJFK LAX JFK PA440 PA 440 1300 2115   4 F2 C4 Y7
ORYJFK ORY JFK PA185 PA 185 0700 1515   4 F7 C5 Y9
ORYJFK ORY JFK PA145 PA 145 0800 1615   4 F8 C1 Y5
ORYJFK ORY JFK PA160 PA 160 0900 1715   4 F4 C8 Y9
ORYJFK ORY JFK PA108 PA 108 2100 0515+1 6 F6 C2 Y2
LHRJFK LHR JFK PA118 PA 118 0900 1700   4 F6 C4 Y6
LHRJFK LHR JFK PA164 PA 164 1800 0200+1 6 F2 C4 Y5
LHRJFK LHR JFK PA150 PA 150 1900 0300+1 6 F3 C4 Y4
JFKFRA JFK FRA PA166 PA 166 0700 1430   4 F4 C3 Y6
JFKFRA JFK FRA PA158 PA 158 1500 2230   4 F1 C1 Y6
FRAJFK FRA JFK PA155 PA 155 0700 1530   4 F8 C7 Y8
FRAJFK FRA JFK PA169 PA 169 1000 1830   4 F6 C4 Y0
FRAJFK FRA JFK PA197 PA 197 1800 0230+1 6 F4 C2 Y0
FRAJFK FRA JFK PA196 PA 196 2200 0630+1 6 F4 C7 Y9
JFKFCO JFK FCO PA142 PA 142 0900 1730   4 F5 C2 Y1
JFKFCO JFK FCO PA110 PA 110 1500 2330   4 F1 C7 Y2
JFKFCO JFK FCO PA122 PA 122 1800 0230+1 6 F1 C0 Y0
JFKFCO JFK FCO PA116 PA 116 2100 0530+1 6 F7 C3 Y5
FCOJFK FCO JFK PA126 PA 126 0700 1630   4 F1 C5 Y0
FCOJFK FCO JFK PA138 PA 138 1900 0430+1 6 F3 C1 Y1
FCOJFK FCO JFK PA146 PA 146 2100 0630+1 6 F4 C0 Y3
